1101001,1,101,1
1102002,1,102,2
1103003,1,103,3
1104004,1,104,4
1111005,1,111,5
1112006,1,112,6
1113007,1,113,7
1131008,1,131,8
1132009,1,132,9
2201100,2,201,100
2202100,2,202,100
2211015,2,211,15
2212016,2,212,16
2213017,2,213,17
2214018,2,214,18
2215196,2,215,196
2216019,2,216,19
3301999,3,301,999
3302999,3,302,999
3303999,3,303,999
3311999,3,311,999
3312999,3,312,999
3321999,3,321,999
3322999,3,322,999
3323999,3,323,999
3331999,3,331,999
3332999,3,332,999
3333999,3,333,999
3341999,3,341,999
3342999,3,342,999
4401010,4,401,10
4402011,4,402,11
4403012,4,403,12
4404013,4,404,13
4405014,4,405,14
4411020,4,411,20
4412022,4,412,22
4413023,4,413,23
4414024,4,414,24
4416021,4,416,21
4421025,4,421,25
4431026,4,431,26
4432027,4,432,27
4433028,4,433,28
4434029,4,434,29
4435030,4,435,30
4436031,4,436,31
4437032,4,437,32
4438033,4,438,33
4441034,4,441,34
4446035,4,446,35
4447038,4,447,38
4451036,4,451,36
4452037,4,452,37
4456039,4,456,39
4457040,4,457,40
4461043,4,461,43
5566041,5,566,41
5567041,5,567,41
5568041,5,568,41
5569041,5,569,41
5570041,5,570,41
5571041,5,571,41
5572041,5,572,41
6681999,6,681,999
6682999,6,682,999
6683999,6,683,999
6684999,6,684,999
6685999,6,685,999
6686999,6,686,999
