301100201,201001001,9
301100202,201001001,6
301100203,201001002,6
301100204,201001002,4
301100205,201001003,6
301100206,201001003,3
301100207,201001004,2
301100208,201001004,6
301100209,201001005,1
301100210,201001005,4
301100211,201001006,4
301100212,201001006,7
301100213,201001007,9
301100214,201001007,2
301100215,201001008,3
301100216,201001008,1
301100217,201001009,5
301100218,201001009,1
301100219,201001010,5
301100220,201001010,5
301100221,201001011,7
301100222,201001011,7
301100223,201001012,6
301100224,201001012,5
301100225,201001013,8
301100226,201001013,7
301100227,201001014,7
301100228,201001014,2
301100229,201001015,8
301100230,201001015,1
301100231,201001016,6
301100232,201001016,6
301100233,201001017,6
301100234,201001017,5
301100235,201001018,3
301100236,201001018,4
301100237,201001019,5
301100238,201001019,9
301100239,201001020,6
301100240,201001020,3
