320101001,210112001,5
320101002,210112001,4
320101003,210112002,6
320101004,210112002,6
320101005,210112003,1
320101006,210112003,2
320101007,210112004,3
320101008,210112004,3
320101009,210112005,1
320101010,210112005,5
320101011,210112006,3
320101012,210112006,1
320101013,210112007,2
320101014,210112007,5
320101015,210112008,3
320101016,210112008,2
320101017,210112009,1
320101018,210112009,2
320101019,210112010,4
320101020,210112010,2
320101021,210112011,3
320101022,210112011,2
320101023,210112012,3
320101024,210112012,1
320101025,210112013,6
320101026,210112013,3
320101027,210112014,4
320101028,210112014,2
320101029,210112015,1
320101030,210112015,5
320101031,210112016,4
320101032,210112016,6
320101033,210112017,6
320101034,210112017,1
320101035,210112018,4
320101036,210112018,5
320101037,210112019,3
320101038,210112019,1
320101039,210112020,5
320101040,210112020,1
